"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","33.0","390.0","5.0","0.0","73.7"
"","low","24.0","269.4","1.6","0.1","50.1"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","58.8"
"","high","35.0","383.0","2.0","0.3","70.2"
"","low","26.0","299.0","1.9","1.0","55.3"
"Tyler Higbee","LAR","25.1","296.5","2.4","0.0","56.6"
"","high","40.0","499.0","4.0","0.0","77.5"
"","low","15.3","154.4","1.3","0.1","35.4"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","53.7"
"","high","35.0","374.0","3.0","0.0","86.0"
"","low","21.7","219.2","1.7","0.1","40.1"
"Erick All Jr.","CIN","30.5","268.6","1.9","0.1","53.5"
"","high","35.0","302.0","2.0","0.0","49.8"
"","low","25.9","235.2","1.9","0.2","48.2"
"Noah Fant","NO","29.3","274.4","1.6","1.6","48.6"
"","high","44.0","423.0","2.0","0.1","65.7"
"","low","16.9","145.3","0.8","3.0","33.8"
"Will Kacmarek","MIA","26.6","250.7","1.9","0.6","48.5"
"","high","35.0","327.0","3.0","0.1","53.3"
"","low","18.1","174.4","0.8","1.0","35.1"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","46.6"
"","high","24.1","264.2","2.0","0.2","56.9"
"","low","23.0","216.0","1.7","0.2","48.3"
"Charlie Kolar","LAC","20.2","229.9","2.0","0.1","45.3"
"","high","25.0","332.0","4.0","0.0","58.1"
"","low","14.7","148.8","1.0","0.1","31.6"
"Austin Hooper","ATL","22.5","236.4","1.6","0.1","44.4"
"","high","25.0","283.0","2.0","0.0","58.8"
"","low","20.6","181.2","0.8","0.1","34.2"
"Brock Wright","DET","20.9","187.1","2.3","0.0","43.0"
"","high","34.0","302.0","4.0","0.0","55.4"
"","low","7.7","72.2","0.6","0.0","21.3"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","42.8"
"","high","22.0","243.0","4.0","0.0","49.3"
"","low","16.7","150.8","1.1","0.1","31.0"
"Daniel Bellinger","TEN","19.3","222.3","1.8","0.0","42.3"
"","high","26.0","332.0","3.0","0.0","51.7"
"","low","12.7","112.6","0.5","0.1","23.8"
"Noah Gray","KC","21.0","211.8","1.5","0.1","40.4"
"","high","26.1","262.3","2.0","0.0","56.9"
"","low","15.0","139.0","1.0","0.1","22.5"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","39.1"
"","high","31.0","322.0","2.0","0.1","42.4"
"","low","10.8","106.9","0.8","1.0","28.7"
"Tommy Tremble","CAR","21.1","197.8","1.4","0.1","38.8"
"","high","23.0","215.0","2.0","0.0","49.1"
"","low","18.4","176.5","1.0","0.1","34.6"
"Adam Trautman","DEN","19.3","197.7","1.5","0.0","38.3"
"","high","27.0","282.0","2.0","0.0","40.7"
"","low","11.7","113.3","1.0","0.1","26.8"
"Luke Musgrave","GB","20.5","200.5","1.1","0.0","36.9"
"","high","28.0","269.0","2.0","0.0","57.1"
"","low","7.5","67.4","0.4","0.1","19.0"
"Eli Raridon","NE","18.8","192.8","1.5","0.6","36.8"
"","high","22.0","235.0","2.0","0.1","34.4"
"","low","15.6","150.5","1.1","1.0","30.9"
"Marlin Klein","HOU","19.5","201.6","1.1","0.5","35.5"
"","high","35.0","367.0","2.0","0.0","48.7"
"","low","4.0","36.1","0.2","1.0","14.7"
