"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","531.3","343.0","3990.6","29.0","10.0","50.4","212.6","1.0","2.0","300.0"
"","low","474.0","309.0","3691.0","25.0","10.7","43.0","185.0","0.0","4.0","259.0"
"Sam Darnold","SEA","506.9","337.0","4090.7","27.3","13.1","44.0","131.9","0.6","5.3","266.2"
"","high","512.6","339.0","4130.0","32.0","12.4","48.0","145.0","1.0","4.6","313.0"
"","low","498.0","335.1","4013.2","24.0","14.0","40.0","125.0","0.0","6.0","242.6"
"C.J. Stroud","HOU","550.9","347.4","3877.7","23.5","11.4","54.4","238.8","1.0","3.5","260.8"
"","high","573.0","352.0","3950.1","28.0","10.0","57.1","249.3","1.1","3.0","310.0"
"","low","529.0","339.0","3759.0","21.0","12.1","51.0","218.0","1.0","3.9","246.6"
"Bryce Young","CAR","525.6","334.3","3457.3","22.8","12.0","57.9","261.1","3.0","3.0","255.7"
"","high","539.7","336.0","3639.8","26.0","10.0","61.0","282.0","4.0","2.0","292.0"
"","low","513.0","331.0","3355.0","20.3","14.0","55.0","229.0","2.1","4.0","237.5"
"Geno Smith","NYJ","520.8","340.7","3459.1","22.1","14.8","57.3","210.7","1.0","2.2","234.8"
"","high","540.0","361.2","3815.3","25.0","14.0","58.0","255.0","1.0","1.0","250.5"
"","low","492.0","310.0","2943.0","20.4","16.0","56.0","157.0","1.0","3.4","232.3"
"Cam Ward","TEN","563.6","345.0","3587.6","19.9","10.4","44.2","185.3","2.0","5.4","232.4"
"","high","572.0","355.1","3759.9","24.0","10.0","49.0","207.0","3.0","4.8","259.0"
"","low","557.7","331.0","3341.0","16.6","11.0","37.0","148.0","1.0","6.0","219.9"
"Jacoby Brissett","ARI","541.6","347.6","3591.8","19.6","10.4","48.7","214.3","1.4","4.8","232.2"
"","high","587.0","378.0","3776.0","25.0","9.2","56.0","255.0","2.0","3.7","285.0"
"","low","516.8","326.8","3354.5","14.9","12.0","43.0","178.0","1.0","6.0","198.9"
"Aaron Rodgers","PIT","527.0","339.3","3484.8","21.7","9.4","26.0","82.6","0.6","2.7","223.5"
"","high","568.1","362.8","3772.4","23.0","8.0","29.0","99.7","1.0","2.0","246.0"
"","low","476.0","301.0","3033.0","20.2","11.1","21.0","68.0","0.0","3.5","219.2"
"Fernando Mendoza","LV","431.6","276.2","2892.0","16.1","12.2","50.4","227.4","1.3","2.7","192.9"
"","high","449.8","284.6","3058.9","19.0","10.0","52.1","239.0","1.9","2.0","206.9"
"","low","419.0","264.0","2638.0","14.2","16.0","48.0","217.0","1.0","3.4","187.5"
"Tua Tagovailoa","ATL","378.9","248.7","2723.2","15.8","8.3","19.6","46.6","0.1","2.3","164.5"
