"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","76.6","996.0","6.0","3.0","25.0","0.1","0.0","207.8"
"","low","72.0","987.0","6.0","0.0","0.0","0.0","0.7","164.1"
"Luther Burden III","CHI","72.7","973.1","5.7","7.7","38.2","0.1","0.3","171.7"
"","high","75.1","1056.0","6.0","9.1","49.5","0.4","0.0","203.2"
"","low","70.0","926.0","5.1","6.0","32.0","0.0","0.7","167.2"
"Mike Evans","SF","67.4","950.7","7.0","0.0","0.0","0.0","0.2","170.1"
"","high","76.0","994.0","8.0","0.0","0.0","0.0","0.0","205.7"
"","low","57.1","903.2","5.9","0.0","0.0","0.0","0.4","159.1"
"Christian Watson","GB","57.6","930.4","7.3","1.7","8.0","0.0","0.3","166.4"
"","high","65.0","982.0","8.0","3.0","13.1","0.1","0.0","201.5"
"","low","53.0","866.1","7.0","0.0","0.0","0.0","0.5","159.1"
"Courtland Sutton","DEN","67.4","884.7","7.2","0.0","0.0","0.0","0.2","164.9"
"","high","70.0","911.0","7.6","0.0","0.0","0.0","0.0","192.0"
"","low","63.0","848.0","7.0","0.0","0.0","0.0","0.5","158.7"
"Alec Pierce","IND","56.5","977.3","6.4","0.0","0.0","0.0","0.3","164.0"
"","high","60.6","1067.0","9.0","0.0","0.0","0.0","0.0","180.3"
"","low","49.0","917.0","5.0","0.0","0.0","0.0","0.5","154.4"
"Marvin Harrison Jr.","ARI","67.3","945.4","6.0","0.0","0.0","0.0","0.3","163.6"
"","high","69.0","954.1","7.0","0.0","0.0","0.0","0.0","194.9"
"","low","64.0","933.0","5.0","0.0","0.0","0.0","0.6","158.7"
"DK Metcalf","PIT","64.3","926.8","6.1","0.7","3.3","0.3","0.2","163.1"
"","high","67.0","944.5","6.2","2.0","10.0","1.0","0.0","196.0"
"","low","61.0","892.0","6.0","0.0","0.0","0.0","0.5","155.1"
"Parker Washington","JAC","62.6","863.2","5.7","5.0","13.6","0.1","0.4","153.1"
"","high","63.8","925.0","7.0","8.0","38.9","0.3","0.0","173.7"
"","low","62.0","814.0","5.0","0.0","0.0","0.0","0.8","154.8"
"Brian Thomas Jr.","JAC","58.0","871.6","5.4","2.7","17.7","0.4","0.2","152.1"
"","high","61.0","942.0","6.0","4.0","30.0","1.0","0.0","168.2"
"","low","56.0","812.0","5.0","0.0","0.0","0.0","0.3","148.6"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","150.1"
"","high","88.4","877.0","6.0","0.0","0.0","0.0","0.0","195.9"
"","low","76.0","678.0","3.9","0.0","0.0","0.0","0.7","134.2"
"Carnell Tate","TEN","65.2","887.2","4.5","0.7","3.0","0.0","1.4","145.8"
"","high","74.5","1023.7","5.0","2.0","9.0","0.0","0.8","181.8"
"","low","56.0","771.0","4.0","0.0","0.0","0.0","2.0","121.6"
"Jayden Reed","GB","63.1","757.7","4.8","12.0","86.9","0.1","0.4","144.8"
"","high","66.0","815.0","5.0","16.0","128.0","0.4","0.0","182.9"
"","low","60.0","727.2","4.4","9.0","64.8","0.0","0.8","132.6"
"Jakobi Meyers","JAC","68.3","787.7","5.1","4.3","22.7","0.1","0.8","144.6"
"","high","69.8","814.0","5.2","6.0","32.0","0.3","0.6","177.7"
"","low","67.0","767.1","5.0","3.0","17.0","0.0","1.0","135.1"
"Quentin Johnston","LAC","53.6","757.0","6.9","1.7","5.9","0.0","0.7","143.1"
"","high","58.0","786.0","9.0","3.0","10.8","0.1","0.5","158.5"
"","low","50.0","707.0","5.6","0.0","0.0","0.0","1.0","139.4"
"Michael Wilson","ARI","67.5","826.4","4.5","0.0","0.7","0.0","0.2","142.8"
"","high","70.6","860.3","6.0","0.0","2.0","0.0","0.0","173.0"
"","low","66.0","797.0","3.4","0.0","0.0","0.0","0.4","139.7"
"Chris Godwin Jr.","TB","67.8","773.9","5.2","0.3","0.3","0.0","0.3","141.8"
"","high","75.0","842.0","6.0","1.0","1.0","0.0","0.0","175.8"
"","low","60.4","700.7","4.5","0.0","0.0","0.0","0.6","130.9"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","141.3"
"","high","60.5","770.3","6.0","3.0","78.0","1.0","0.0","163.9"
"","low","50.0","736.0","5.0","2.0","14.4","0.0","0.4","137.6"
"Xavier Worthy","KC","55.2","722.7","4.2","15.5","99.4","0.9","0.2","139.9"
"","high","57.0","789.2","4.6","22.0","146.0","1.0","0.0","167.2"
"","low","53.0","644.0","4.0","12.0","76.0","0.6","0.3","118.6"
"Deebo Samuel Sr.","SF","58.3","666.2","4.5","29.1","111.7","1.1","0.4","139.6"
"","high","65.0","681.4","5.0","36.0","114.0","1.1","0.0","138.6"
"","low","51.5","651.0","4.0","22.1","109.4","1.0","0.8","125.1"
"Wan'Dale Robinson","TEN","79.9","805.6","3.0","2.0","9.5","0.1","0.3","139.1"
"","high","84.0","823.8","4.0","4.1","22.5","0.2","0.0","176.1"
"","low","77.0","796.0","2.0","0.0","0.0","0.0","0.6","134.0"
"Matthew Golden","GB","55.9","758.7","4.6","5.5","27.3","0.1","0.4","133.5"
"","high","66.7","870.1","5.0","12.0","57.0","0.2","0.0","155.1"
"","low","47.0","702.0","4.0","0.0","0.0","0.0","0.7","116.9"
"Stefon Diggs","WAS","67.0","747.5","4.2","0.3","0.7","0.0","0.2","132.7"
"","high","71.1","766.0","5.0","1.0","2.0","0.0","0.0","171.1"
"","low","62.0","726.4","3.5","0.0","0.0","0.0","0.5","124.5"
"Rashid Shaheed","SEA","49.9","755.8","3.8","13.4","88.9","0.3","0.8","131.8"
"","high","57.0","865.0","4.0","13.8","91.0","0.5","0.6","129.0"
"","low","42.8","646.5","3.5","13.0","86.7","0.0","1.0","126.6"
"Khalil Shakir","BUF","69.7","726.3","3.9","1.1","5.5","0.0","0.8","130.1"
"","high","72.0","766.0","4.0","2.3","12.5","0.1","0.6","171.4"
"","low","67.0","648.0","3.7","0.0","0.0","0.0","1.0","112.8"
"KC Concepcion","CLE","60.0","779.1","3.6","4.2","22.5","0.1","1.3","129.6"
"","high","62.0","831.0","4.0","6.4","35.0","0.2","0.7","126.1"
"","low","58.1","727.2","3.2","2.0","10.0","0.0","2.0","123.0"
"Josh Downs","IND","68.8","704.9","4.2","1.4","4.2","0.0","0.8","129.3"
"","high","70.5","711.0","6.0","2.1","10.7","0.1","0.6","163.1"
"","low","68.0","696.8","2.7","0.0","0.0","0.0","1.0","121.7"
"Romeo Doubs","NE","55.2","712.3","5.1","0.0","0.0","0.0","0.3","128.9"
"","high","58.0","759.0","5.3","0.0","0.0","0.0","0.0","162.5"
"","low","52.6","665.9","5.0","0.0","0.0","0.0","0.5","120.6"
"Jalen Coker","CAR","60.7","717.5","4.5","0.0","0.0","0.0","0.8","127.4"
"","high","61.4","746.0","6.0","0.0","0.0","0.0","0.6","130.3"
"","low","60.0","689.0","3.0","0.0","0.0","0.0","1.0","116.2"
"De'Zhaun Stribling","SF","51.3","751.5","4.5","1.5","6.5","0.0","1.2","125.8"
"","high","60.0","857.0","5.0","3.0","13.0","0.0","0.4","129.7"
"","low","42.7","646.1","3.9","0.0","0.0","0.0","2.0","113.3"
"Calvin Ridley","TEN","46.7","762.4","3.2","4.5","27.6","0.6","0.2","124.8"
"","high","50.0","847.0","3.4","6.1","32.1","1.0","0.0","123.3"
"","low","43.4","677.8","3.0","3.0","23.0","0.3","0.4","115.4"
"Makai Lemon","PHI","52.8","738.2","4.4","1.5","6.5","0.0","1.3","124.5"
"","high","53.0","741.4","4.7","3.0","13.0","0.0","0.5","128.5"
"","low","52.5","735.0","4.0","0.0","0.0","0.0","2.0","112.4"
"Tank Dell","HOU","52.7","680.3","3.9","10.2","48.8","0.1","0.3","123.0"
"","high","55.4","688.7","4.0","12.0","53.0","0.2","0.0","123.8"
"","low","50.0","672.0","3.9","8.4","44.7","0.0","0.5","110.3"
"Denzel Boston","CLE","57.4","741.5","3.5","1.0","5.0","0.0","1.3","121.7"
"","high","60.0","800.0","4.0","2.0","10.0","0.0","0.6","120.7"
"","low","54.9","683.0","3.0","0.0","0.0","0.0","2.0","114.5"
"Jerry Jeudy","CLE","54.7","747.4","2.9","0.5","2.0","0.0","0.7","118.1"
"","high","58.0","785.0","3.0","1.0","4.0","0.0","0.5","114.3"
"","low","51.4","709.8","2.8","0.0","0.0","0.0","1.0","113.4"
"Tre Tucker","LV","50.2","635.6","3.8","11.2","52.6","0.2","0.1","117.2"
"","high","52.0","658.3","5.0","12.0","57.3","0.3","0.0","114.7"
"","low","48.4","613.0","2.5","10.4","48.0","0.0","0.3","109.1"
"Rashod Bateman","BAL","38.8","598.6","6.0","0.0","0.0","0.0","0.2","114.9"
"","high","40.0","614.3","8.0","0.0","0.0","0.0","0.0","117.4"
"","low","37.7","583.0","4.0","0.0","0.0","0.0","0.3","104.2"
"Keenan Allen","IND","58.6","607.3","3.8","0.0","0.0","0.0","0.3","112.5"
"","high","62.0","675.0","5.0","0.0","0.0","0.0","0.0","117.3"
"","low","55.1","539.5","2.7","0.0","0.0","0.0","0.6","98.6"
"Jalen McMillan","TB","46.6","607.3","3.9","4.7","26.8","0.1","0.2","110.5"
"","high","47.3","626.0","4.0","5.0","29.0","0.2","0.0","109.0"
"","low","46.0","588.6","3.9","4.4","24.6","0.0","0.4","101.3"
"Jauan Jennings","MIN","48.7","557.7","5.2","0.0","0.0","0.0","0.7","109.7"
"","high","51.0","629.0","7.0","0.0","0.0","0.0","0.5","119.4"
"","low","46.5","486.3","3.3","0.0","0.0","0.0","1.0","92.5"
"Jalen Nailor","LV","43.7","591.2","4.5","2.0","8.5","0.0","0.2","108.6"
"","high","44.3","607.4","6.0","2.1","11.0","0.1","0.0","106.8"
"","low","43.0","575.0","3.0","2.0","6.0","0.0","0.4","101.7"
"Ja'Kobi Lane","BAL","37.8","569.3","5.2","1.5","8.5","0.0","0.7","106.8"
"","high","44.0","654.0","7.0","3.0","17.0","0.0","0.3","115.9"
"","low","31.5","484.6","3.5","0.0","0.0","0.0","1.0","87.8"
"Devaughn Vele","NO","47.3","567.7","3.7","0.0","0.0","0.0","0.2","102.1"
"","high","49.5","591.0","4.0","0.0","0.0","0.0","0.0","97.9"
"","low","45.0","544.4","3.4","0.0","0.0","0.0","0.4","97.6"
"Cooper Kupp","SEA","47.4","584.8","3.4","0.5","1.5","0.0","0.7","101.5"
"","high","57.0","698.0","4.0","1.0","3.0","0.0","0.3","108.7"
"","low","37.9","471.7","2.8","0.0","0.0","0.0","1.0","87.4"
