"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","20.5","230.8","1.7","9.0","46.9","0.3","0.3","50.4"
"Calvin Austin III","NYG","19.6","261.7","2.2","0.0","0.0","0.0","0.0","49.0"
"","high","33.0","449.0","4.0","0.0","0.0","0.0","0.0","69.8"
"","low","6.1","74.4","0.4","0.0","0.0","0.0","0.1","19.7"
"Jahdae Walker","CHI","17.6","233.3","2.7","0.5","3.5","0.0","0.0","48.4"
"","high","32.0","431.0","5.0","1.0","7.0","0.0","0.0","73.8"
"","low","3.2","35.5","0.3","0.0","0.0","0.0","0.0","14.3"
"Malachi Fields","NYG","23.0","279.9","1.5","0.0","0.0","0.0","0.2","48.2"
"","high","23.0","279.9","1.5","0.0","0.0","0.0","0.2","48.4"
"","low","23.0","279.9","1.5","0.0","0.0","0.0","0.2","48.4"
"Tutu Atwell","MIA","21.8","311.6","0.5","2.2","11.4","0.1","0.2","46.1"
"","high","21.8","311.6","0.5","2.2","11.4","0.1","0.2","46.2"
"","low","21.8","311.6","0.5","2.2","11.4","0.1","0.2","46.2"
"Cedric Tillman","CLE","18.5","235.6","2.1","0.0","-0.5","0.0","0.0","45.3"
"","high","34.0","438.0","4.0","0.0","0.0","0.0","0.0","68.2"
"","low","3.0","33.2","0.2","0.0","-1.0","0.0","0.0","13.6"
"Demarcus Robinson","SF","17.6","253.0","1.7","0.5","2.5","0.0","0.0","44.3"
"","high","32.0","462.0","3.0","1.0","5.0","0.0","0.0","64.8"
"","low","3.3","44.1","0.3","0.0","0.0","0.0","0.0","15.0"
"Luke McCaffrey","WAS","14.4","221.1","2.3","0.0","0.0","0.0","0.0","42.7"
"","high","22.0","362.0","4.0","0.0","0.0","0.0","0.0","60.2"
"","low","6.7","80.3","0.5","0.0","0.0","0.0","0.1","18.9"
"Kendrick Bourne","ARI","22.8","239.2","0.7","0.0","0.0","0.0","0.2","38.9"
"","high","22.8","239.2","0.7","0.0","0.0","0.0","0.2","38.9"
"","low","22.8","239.2","0.7","0.0","0.0","0.0","0.2","38.9"
"Dyami Brown","WAS","15.9","216.9","1.6","0.0","0.0","0.0","0.2","38.8"
"","high","15.9","216.9","1.6","0.0","0.0","0.0","0.2","39.0"
"","low","15.9","216.9","1.6","0.0","0.0","0.0","0.2","39.0"
"Treylon Burks","WAS","15.0","217.8","1.4","0.0","0.0","0.0","0.1","37.2"
"","high","15.0","217.8","1.4","0.0","0.0","0.0","0.1","37.4"
"","low","15.0","217.8","1.4","0.0","0.0","0.0","0.1","37.4"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","36.8"
"","high","19.2","186.9","0.9","4.6","27.2","0.2","0.2","38.4"
"","low","19.2","186.9","0.9","4.6","27.2","0.2","0.2","38.4"
"Devontez Walker","BAL","14.5","208.8","1.5","0.0","0.0","0.0","0.2","36.6"
"","high","14.5","208.8","1.5","0.0","0.0","0.0","0.2","36.7"
"","low","14.5","208.8","1.5","0.0","0.0","0.0","0.2","36.7"
"Cyrus Allen","KC","16.2","203.2","1.3","0.0","0.0","0.0","0.2","35.7"
"","high","16.2","203.2","1.3","0.0","0.0","0.0","0.2","35.9"
"","low","16.2","203.2","1.3","0.0","0.0","0.0","0.2","35.9"
"Isaiah Williams","NYJ","18.8","185.9","0.7","2.2","12.7","0.1","0.2","33.7"
"","high","18.8","185.9","0.7","2.2","12.7","0.1","0.2","37.4"
"","low","18.8","185.9","0.7","2.2","12.7","0.1","0.2","37.4"
"Colbie Young","CIN","14.1","176.3","1.3","0.0","0.0","0.0","0.1","32.4"
"","high","14.1","176.3","1.3","0.0","0.0","0.0","0.1","32.6"
"","low","14.1","176.3","1.3","0.0","0.0","0.0","0.1","32.6"
"Bryce Lance","NO","15.1","193.2","0.9","0.0","0.0","0.0","0.2","31.9"
"","high","15.1","193.2","0.9","0.0","0.0","0.0","0.2","32.0"
"","low","15.1","193.2","0.9","0.0","0.0","0.0","0.2","32.0"
"Zavion Thomas","CHI","12.5","153.5","1.2","0.0","0.0","0.0","0.1","28.6"
"","high","12.5","153.5","1.2","0.0","0.0","0.0","0.1","29.9"
"","low","12.5","153.5","1.2","0.0","0.0","0.0","0.1","29.9"
"Jaylin Lane","WAS","12.4","159.5","1.1","0.0","0.0","0.0","0.1","28.4"
"","high","12.4","159.5","1.1","0.0","0.0","0.0","0.1","31.1"
"","low","12.4","159.5","1.1","0.0","0.0","0.0","0.1","31.1"
"Elijah Sarratt","BAL","11.1","165.8","1.0","0.0","0.0","0.0","0.1","28.0"
"","high","11.1","165.8","1.0","0.0","0.0","0.0","0.1","28.1"
"","low","11.1","165.8","1.0","0.0","0.0","0.0","0.1","28.1"
"Kevin Coleman Jr.","MIA","13.5","170.2","0.4","0.0","0.0","0.0","0.1","26.1"
"","high","13.5","170.2","0.4","0.0","0.0","0.0","0.1","26.1"
"","low","13.5","170.2","0.4","0.0","0.0","0.0","0.1","26.1"
"Jordan Whittington","LAR","11.3","128.2","0.9","2.3","12.1","0.1","0.1","25.6"
"","high","11.3","128.2","0.9","2.3","12.1","0.1","0.1","26.0"
"","low","11.3","128.2","0.9","2.3","12.1","0.1","0.1","26.0"
"Isaiah Bond","CLE","9.9","130.3","0.8","4.3","23.6","0.1","0.1","25.5"
"","high","9.9","130.3","0.8","4.3","23.6","0.1","0.1","25.6"
"","low","9.9","130.3","0.8","4.3","23.6","0.1","0.1","25.6"
"Konata Mumpfield","LAR","9.9","126.7","1.1","0.0","0.0","0.0","0.1","24.2"
"","high","9.9","126.7","1.1","0.0","0.0","0.0","0.1","24.3"
"","low","9.9","126.7","1.1","0.0","0.0","0.0","0.1","24.3"
"Skyler Bell","BUF","10.1","136.5","0.8","0.0","0.0","0.0","0.1","23.3"
"","high","10.1","136.5","0.8","0.0","0.0","0.0","0.1","23.4"
"","low","10.1","136.5","0.8","0.0","0.0","0.0","0.1","23.4"
"Roman Wilson","PIT","11.8","135.1","0.6","0.0","0.0","0.0","0.1","22.9"
"","high","11.8","135.1","0.6","0.0","0.0","0.0","0.1","23.0"
"","low","11.8","135.1","0.6","0.0","0.0","0.0","0.1","23.0"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.7"
"","high","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.8"
"","low","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.8"
"Mack Hollins","NE","10.8","126.6","0.8","0.0","0.0","0.0","0.1","22.6"
"","high","10.8","126.6","0.8","0.0","0.0","0.0","0.1","22.7"
"","low","10.8","126.6","0.8","0.0","0.0","0.0","0.1","22.7"
"Justin Watson","HOU","9.3","125.6","0.7","0.0","0.0","0.0","0.1","21.0"
"","high","9.3","125.6","0.7","0.0","0.0","0.0","0.1","21.2"
"","low","9.3","125.6","0.7","0.0","0.0","0.0","0.1","21.2"
"Odell Beckham Jr.","NYG","9.2","113.3","0.6","0.0","0.0","0.0","0.1","19.4"
"","high","9.2","113.3","0.6","0.0","0.0","0.0","0.1","19.5"
"","low","9.2","113.3","0.6","0.0","0.0","0.0","0.1","19.5"
"Kyle Williams","NE","6.4","91.4","0.6","4.1","22.4","0.2","0.1","18.8"
"","high","6.4","91.4","0.6","4.1","22.4","0.2","0.1","19.4"
"","low","6.4","91.4","0.6","4.1","22.4","0.2","0.1","19.4"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.0"
"","high","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.2"
"","low","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.2"
"Jimmy Horn Jr.","CAR","6.7","75.6","0.4","6.2","36.7","0.2","0.1","17.8"
"","high","6.7","75.6","0.4","6.2","36.7","0.2","0.1","17.9"
"","low","6.7","75.6","0.4","6.2","36.7","0.2","0.1","17.9"
"Jalen Royals","KC","6.8","78.2","0.6","0.0","0.0","0.0","0.1","14.9"
"","high","6.8","78.2","0.6","0.0","0.0","0.0","0.1","15.0"
"","low","6.8","78.2","0.6","0.0","0.0","0.0","0.1","15.0"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.6"
"","high","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.9"
"","low","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.9"
"Nick Westbrook-Ikhine","IND","6.1","76.6","0.6","0.0","0.0","0.0","0.1","14.1"
"","high","6.1","76.6","0.6","0.0","0.0","0.0","0.1","14.2"
"","low","6.1","76.6","0.6","0.0","0.0","0.0","0.1","14.2"
"Mason Tipton","NO","6.8","80.5","0.3","0.0","0.0","0.0","0.1","13.3"
"","high","6.8","80.5","0.3","0.0","0.0","0.0","0.1","14.0"
"","low","6.8","80.5","0.3","0.0","0.0","0.0","0.1","14.0"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"","high","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"","low","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"Greg Dortch","DET","4.1","39.7","0.3","4.6","24.0","0.4","0.1","12.1"
"","high","4.1","39.7","0.3","4.6","24.0","0.4","0.1","14.0"
"","low","4.1","39.7","0.3","4.6","24.0","0.4","0.1","14.0"
"Bo Melton","GB","2.9","37.4","0.3","4.5","25.9","0.1","0.1","10.0"
"","high","2.9","37.4","0.3","4.5","25.9","0.1","0.1","10.2"
"","low","2.9","37.4","0.3","4.5","25.9","0.1","0.1","10.2"
"Barion Brown","NO","4.6","57.3","0.3","0.0","0.0","0.0","0.1","9.5"
"","high","4.6","57.3","0.3","0.0","0.0","0.0","0.1","10.9"
"","low","4.6","57.3","0.3","0.0","0.0","0.0","0.1","10.9"
"Tyrell Shavers","BUF","4.0","52.1","0.3","0.0","0.0","0.0","0.0","8.9"
"","high","4.0","52.1","0.3","0.0","0.0","0.0","0.0","9.0"
"","low","4.0","52.1","0.3","0.0","0.0","0.0","0.0","9.0"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","8.6"
"","high","3.5","38.1","0.3","2.1","11.0","0.1","0.1","9.9"
"","low","3.5","38.1","0.3","2.1","11.0","0.1","0.1","9.9"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","44.0","0.2","0.1","8.3"
"","high","1.7","16.5","0.1","6.4","44.0","0.2","0.1","8.7"
"","low","1.7","16.5","0.1","6.4","44.0","0.2","0.1","8.7"
"Mitch Tinsley","CIN","3.3","41.8","0.4","0.0","0.0","0.0","0.0","8.1"
"","high","3.3","41.8","0.4","0.0","0.0","0.0","0.0","8.1"
"","low","3.3","41.8","0.4","0.0","0.0","0.0","0.0","8.1"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","8.1"
"","high","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.8"
"","low","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.8"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"","high","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"","low","3.4","42.8","0.3","0.0","0.0","0.0","0.0","7.9"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","6.9"
"","high","3.7","37.1","0.2","0.0","0.0","0.0","0.0","7.2"
"","low","3.7","37.1","0.2","0.0","0.0","0.0","0.0","7.2"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","6.9"
"","high","2.9","40.6","0.3","0.0","0.0","0.0","0.0","7.0"
"","low","2.9","40.6","0.3","0.0","0.0","0.0","0.0","7.0"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"","high","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.9"
"","low","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.9"
"Lewis Bond","HOU","3.3","39.7","0.2","0.0","0.0","0.0","0.0","6.6"
"","high","3.3","39.7","0.2","0.0","0.0","0.0","0.0","6.7"
"","low","3.3","39.7","0.2","0.0","0.0","0.0","0.0","6.7"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"","high","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"","low","3.4","39.3","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.1","0.2","0.0","0.0","0.0","0.0","6.2"
"","high","3.3","36.1","0.2","0.0","0.0","0.0","0.0","6.3"
"","low","3.3","36.1","0.2","0.0","0.0","0.0","0.0","6.3"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","high","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","low","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Ben Skowronek","PIT","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.0"
"","high","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.0"
"","low","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Jalen Reagor","MIA","1.4","17.7","0.1","0.0","0.0","0.0","0.0","2.7"
"","high","1.4","17.7","0.1","0.0","0.0","0.0","0.0","2.7"
"","low","1.4","17.7","0.1","0.0","0.0","0.0","0.0","2.7"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"","high","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.6"
"","low","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.6"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.2","11.7","0.1","0.0","1.6"
"","high","0.0","0.0","0.0","2.2","11.7","0.1","0.0","4.1"
"","low","0.0","0.0","0.0","2.2","11.7","0.1","0.0","4.1"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Anthony Gould","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
""
""
